1091,1650 REMSEN AVENUE                       ,Brooklyn,NY,11236
1092,205 AUTUMN AVENUE                        ,Brooklyn,NY,11208
1093,2797 EAST 27TH   STREET                  ,Brooklyn,NY,11235
1094,269 55TH   STREET                        ,Brooklyn,NY,11220
1095,715 MADISON STREET                       ,Brooklyn,NY,11221
1096,110 LINDEN BOULEVARD                     ,Brooklyn,NY,11226
1097,2027 EAST 28TH STREET                    ,Brooklyn,NY,11229
1098,2502 MCDONALD AVENUE                     ,Brooklyn,NY,11223
1099,110 FORCE TUBE AVENUE                    ,Brooklyn,NY,11208
1100,3523 BEDFORD AVENUE                      ,Brooklyn,NY,11210
1101,1343 JEFFERSON AVENUE                    ,Brooklyn,NY,11221
1102,1528 EAST 35TH   STREET                  ,Brooklyn,NY,11234
1103,332 EAST 8TH   STREET                    ,Brooklyn,NY,11218
1104,2272 EAST 60TH   PLACE                   ,Brooklyn,NY,11234
1105,3714 AVENUE S                            ,Brooklyn,NY,11234
1106,1784 EAST 48TH   STREET                  ,Brooklyn,NY,11234
1107,2954 NOSTRAND AVENUE                     ,Brooklyn,NY,11229
1108,9519 AVENUE M                            ,Brooklyn,NY,11236
1109,801 LINDEN BOULEVARD                     ,Brooklyn,NY,11203
1110,2326 TILDEN AVENUE                       ,Brooklyn,NY,11226
1111,177 JEROME STREET                        ,Brooklyn,NY,11207
1112,123 86TH   STREET                        ,Brooklyn,NY,11209
1113,496 LIBERTY AVE                          ,Brooklyn,NY,11207
1114,370 MARION STREET                        ,Brooklyn,NY,11233
1115,1008 HALSEY ST                           ,Brooklyn,NY,11207
1116,197 NICHOLS AVENUE                       ,Brooklyn,NY,11208
1117,2214 EAST 28TH   STREET                  ,Brooklyn,NY,11229
1118,1739 WEST 1ST   STREET                   ,Brooklyn,NY,11223
1119,865 EAST 27TH   STREET                   ,Brooklyn,NY,11210
1120,592 MAYFAIR DRIVE SOUTH                  ,Brooklyn,NY,11234
1121,615 EAST 38TH STREET                     ,Brooklyn,NY,11203
1122,262 56TH STREET                          ,Brooklyn,NY,11220
1123,2152 COLEMAN STREET                      ,Brooklyn,NY,11234
1124,9328 LAFAYETTE WALK                      ,Brooklyn,NY,11209
1125,381 NEW JERSEY AVENUE                    ,Brooklyn,NY,11207
1126,577 90TH STREET                          ,Brooklyn,NY,11209
1127,1130 79TH STREET                         ,Brooklyn,NY,11228
1128,1627 73RD STREET                         ,Brooklyn,NY,11204
1129,9708 FARRAGUT ROAD                       ,Brooklyn,NY,11236
1130,2035 EAST 28TH STREET                    ,Brooklyn,NY,11229
1131,3625 FLATLANDS AVENUE                    ,Brooklyn,NY,11234
1132,2406 EAST 17TH STREET                    ,Brooklyn,NY,11235
1133,3816 QUENTIN ROAD                        ,Brooklyn,NY,11234
1134,581 LOGAN ST                             ,Brooklyn,NY,11208
1135,9918 GLENWOOD ROAD                       ,Brooklyn,NY,11236
1136,3808 FILLMORE AVENUE                     ,Brooklyn,NY,11234
1137,3101 AVENUE J                            ,Brooklyn,NY,11210
1138,118 MARCUS GARVEY BOULEV                 ,Brooklyn,NY,11206
1139,101 SHEPHERD AVENUE                      ,Brooklyn,NY,11208
1140,1369 EAST 65TH STREET                    ,Brooklyn,NY,11234
1141,575 EVERGREEN AVENUE                     ,Brooklyn,NY,11221
1142,10 PAERDEGAT 3RD STREET                  ,Brooklyn,NY,11236
1143,2838 BATCHELDER STREET                   ,Brooklyn,NY,11235
1144,2636 BATCHELDER STREET                   ,Brooklyn,NY,11235
1145,1628 72ND STREET                         ,Brooklyn,NY,11204
1146,1313 AVENUE Y                            ,Brooklyn,NY,11235
1147,1815 W. 3RD STREET                       ,Brooklyn,NY,11223
1148,8003 AVENUE K                            ,Brooklyn,NY,11236
1149,9702 BARWELL TERRACE                     ,Brooklyn,NY,11209
1150,23 TROY AVENUE                           ,Brooklyn,NY,11213
1151,424A HART ST                             ,Brooklyn,NY,11221
1152,257 BAY 13 STREET                        ,Brooklyn,NY,11214
1153,492 THATFORD STREET                      ,Brooklyn,NY,11212
1154,3 PAERDEGAT 11TH STREE                   ,Brooklyn,NY,11236
1155,7109 8 AVENUE                            ,Brooklyn,NY,11228
1156,522 EAST 29TH STREET                     ,Brooklyn,NY,11210
1157,842 QUINCY STREET                        ,Brooklyn,NY,11221
1158,728 AVENUE Y                             ,Brooklyn,NY,11235
1159,490 ESSEX STREET                         ,Brooklyn,NY,11208
1160,80 BAY 43RD   STREET                     ,Brooklyn,NY,11214
1161,582 EAST 7TH STREET                      ,Brooklyn,NY,11218
1162,1050 NEW YORK AVENUE                     ,Brooklyn,NY,11203
1163,456 CENTRAL AVENUE                       ,Brooklyn,NY,11221
1164,4626 BEDFORD AVENUE                      ,Brooklyn,NY,11235
1165,139 18TH STREET                          ,Brooklyn,NY,11215
1166,206 HART STREET                          ,Brooklyn,NY,11206
1167,128 HIGHLAND PLACE                       ,Brooklyn,NY,11208
1168,2269 EAST 74TH STREET                    ,Brooklyn,NY,11234
1169,1174 EAST 32ND STREET                    ,Brooklyn,NY,11210
1170,249 55 STREET                            ,Brooklyn,NY,11220
1171,438 AMBER STREET                         ,Brooklyn,NY,11208
1172,642 HALSEY STREET                        ,Brooklyn,NY,11233
1173,909 BELMONT AVENUE                       ,Brooklyn,NY,11208
1174,600 LINDEN BOULEVARD                     ,Brooklyn,NY,11203
1175,1051 HART STREET                         ,Brooklyn,NY,11237
1176,1952 WEST 8TH   STREET                   ,Brooklyn,NY,11223
1177,294 BAY 10TH STREET                      ,Brooklyn,NY,11228
1178,314 BROOKLYN AVENUE                      ,Brooklyn,NY,11213
1179,173 COOPER STREET                        ,Brooklyn,NY,11207
1180,1974 HARING STREET                       ,Brooklyn,NY,11229
1181,473 77TH STREET                          ,Brooklyn,NY,11209
1182,237 OCEAN VIEW AVENUE                    ,Brooklyn,NY,11235
1183,331 QUINCY STREET                        ,Brooklyn,NY,11216
1184,24 PAERDEGAT 12 STREET                   ,Brooklyn,NY,11236
1185,1212 77TH STREET                         ,Brooklyn,NY,11228
1186,416 BARBEY STREET                        ,Brooklyn,NY,11207
1187,2064 BERGEN AVENUE                       ,Brooklyn,NY,11234
1188,1505 NOSTRAND AVENUE                     ,Brooklyn,NY,11226
1189,1919 EAST 29TH STREET                    ,Brooklyn,NY,11229
1190,402 VAN SICLEN AVENUE                    ,Brooklyn,NY,11207
1191,6 CORSO CT                               ,Brooklyn,NY,11223
1192,4406 BEACH 44TH STREET                   ,Brooklyn,NY,11224
1193,793 EAST 48TH   STREET                   ,Brooklyn,NY,11203
1194,49 VERONICA PLACE                        ,Brooklyn,NY,11226
1195,47 LAKE STREET                           ,Brooklyn,NY,11223
1196,113 BELMONT AVENUE                       ,Brooklyn,NY,11212
1197,1661 EAST 31ST   STREET                  ,Brooklyn,NY,11234
1198,31 RICHMOND STREET                       ,Brooklyn,NY,11208
1199,1937 EAST 32ND STREET                    ,Brooklyn,NY,11234
1200,2272 EAST 18TH   STREET                  ,Brooklyn,NY,11229
1201,908 ELTON STREET                         ,Brooklyn,NY,11208
